iter	Passed	Remaining
0	241	241127
1	299	149511
2	388	129153
3	432	107701
4	521	103845
5	614	101721
6	716	101623
7	820	101773
8	900	99180
9	1019	100956
10	1085	97595
11	1193	98290
12	1268	96270
13	1323	93192
14	1393	91515
15	1489	91629
16	1580	91391
17	1672	91256
18	1769	91339
19	1844	90361
20	1938	90348
21	2036	90521
22	2126	90331
23	2219	90251
24	2314	90269
25	2399	89891
26	2429	87558
27	2530	87831
28	2625	87893
29	2715	87798
30	2810	87849
31	2901	87767
32	2986	87520
33	3076	87410
34	3165	87284
35	3252	87093
36	3332	86725
37	3417	86518
38	3514	86601
39	3609	86629
40	3699	86540
41	3785	86351
42	3874	86239
43	3958	86017
44	4029	85514
45	4107	85190
46	4198	85131
47	4275	84800
48	4371	84846
49	4420	83997
50	4508	83889
51	4585	83605
52	4665	83362
53	4758	83363
54	4853	83385
55	4945	83360
56	5037	83333
57	5115	83087
58	5214	83166
59	5264	82480
60	5370	82671
61	5470	82767
62	5564	82762
63	5634	82401
64	5720	82290
65	5812	82254
66	5907	82266
67	6002	82274
68	6074	81958
69	6173	82020
70	6291	82320
71	6405	82562
72	6506	82629
73	6559	82079
74	6637	81860
75	6733	81865
76	6839	81979
77	6923	81834
78	7025	81899
79	7102	81681
80	7183	81499
81	7270	81391
82	7364	81368
83	7459	81349
84	7535	81119
85	7628	81069
86	7724	81060
87	7815	80999
88	7899	80858
89	7993	80826
90	8087	80790
91	8176	80694
92	8238	80343
93	8330	80290
94	8422	80234
95	8510	80139
96	8595	80018
97	8653	79649
98	8749	79631
99	8843	79588
100	8895	79175
101	8968	78960
102	9075	79036
103	9168	78987
104	9263	78956
105	9355	78901
106	9420	78620
107	9482	78314
108	9521	77830
109	9618	77825
110	9727	77907
111	9784	77574
112	9879	77552
113	9974	77522
114	10059	77413
115	10126	77170
116	10223	77158
117	10276	76814
118	10374	76806
119	10442	76579
120	10532	76513
121	10643	76600
122	10711	76371
123	10811	76379
124	10912	76390
125	10973	76114
126	11051	75966
127	11138	75883
128	11234	75851
129	11328	75816
130	11387	75541
131	11491	75562
132	11601	75629
133	11711	75690
134	11823	75756
135	11896	75576
136	11994	75554
137	12084	75487
138	12198	75560
139	12263	75332
140	12352	75252
141	12449	75223
142	12510	74977
143	12540	74548
144	12618	74405
145	12707	74327
146	12801	74285
147	12882	74162
148	12976	74111
149	13038	73884
150	13110	73712
151	13199	73641
152	13285	73546
